1 1205
Кого из политиков, руководителей, общественных деятелей Вы знаете, о деятельности кого из них Вы  слышали?
1
4
1
Хорошо
2
Что-то слышал
3
Не знаю
99
Затрудняюсь ответить
3	1	3	2	3	2
2	3	3	3	2	1
2	2	2	2	2	2
3	3	3	3	3	1
3	3	3	2	1	1
3	1	1	3	1	1
3	3	3	3	1	1
3	3	2	2	2	2
2	3	3	2	2	2
3	2	3	3	3	2
2	3	2	2	2	2
3	3	3	3	3	1
3	3	2	3	2	2
3	3	3	2	2	1
3	2	1	1	3	1
3	3	3	3	1	1
2	3	3	1	1	1
99	99	99	99	99	1
3	3	3	2	2	2
3	3	3	2	1	1
1	3	3	1	2	2
3	3	3	3	3	3
3	3	3	2	2	1
3	3	2	2	2	2
3	3	3	3	2	1
3	3	3	1	1	1
2	3	3	2	2	1
3	3	3	2	1	1
3	3	3	2	2	1
3	2	2	2	2	2
2	3	3	3	1	1
3	3	3	3	1	1
3	3	3	2	2	2
2	2	1	1	1	1
1	1	1	1	1	1
3	2	2	3	1	1
2	2	2	2	1	1
3	3	3	3	1	1
3	3	3	3	2	2
3	3	3	3	1	1
2	3	2	2	2	2
3	3	3	3	3	2
3	2	2	2	2	1
2	2	2	2	1	1
1	3	1	1	1	1
2	2	2	2	2	2
3	3	3	2	3	1
2	2	2	2	2	2
3	3	3	1	1	1
3	3	3	2	2	2
3	3	2	2	2	1
3	3	2	3	1	1
3	3	3	2	2	1
3	3	3	2	1	1
